q,p,exact_width,envelope
0.5,0.28542999999999996,0.21380327897663864,0.25
0.5,0.287925,0.21467958150439817,0.25
0.5,0.29041999999999996,0.215543717658873,0.25
0.5,0.292915,0.21639576128040283,0.25
0.5,0.29541,0.21723578494416487,0.25
0.5,0.297905,0.21806385997645134,0.25
0.5,0.3004,0.21888005647059766,0.25
0.5,0.30289499999999997,0.21968444330256984,0.25
0.5,0.30539,0.220477088146218,0.25
0.5,0.30788499999999996,0.22125805748820157,0.25
0.5,0.31038,0.2220274166425934,0.25
0.5,0.31287499999999996,0.22278522976516893,0.25
0.5,0.31537,0.22353155986738596,0.25
0.5,0.31786499999999995,0.22426646883006165,0.25
0.5,0.32036,0.2249900174167518,0.25
0.5,0.322855,0.22570226528683865,0.25
0.5,0.32535,0.22640327100833235,0.25
0.5,0.327845,0.22709309207039116,0.25
0.5,0.33033999999999997,0.22777178489556626,0.25
0.5,0.332835,0.2284394048517753,0.25
0.5,0.33532999999999996,0.2290960062640106,0.25
0.5,0.337825,0.22974164242578568,0.25
0.5,0.34031999999999996,0.23037636561032568,0.25
0.5,0.342815,0.23100022708150597,0.25
0.5,0.34530999999999995,0.2316132771045428,0.25
0.5,0.347805,0.23221556495644108,0.25
0.5,0.3503,0.23280713893620283,0.25
0.5,0.35279499999999997,0.23338804637480073,0.25
0.5,0.35529,0.23395833364492077,0.25
0.5,0.35778499999999996,0.23451804617047733,0.25
0.5,0.36028,0.23506722843590505,0.25
0.5,0.36277499999999996,0.2356059239952307,0.25
0.5,0.36527,0.23613417548092874,0.25
0.5,0.36776499999999995,0.23665202461256432,0.25
0.5,0.37026,0.23715951220522627,0.25
0.5,0.37275499999999995,0.23765667817775407,0.25
0.5,0.37525,0.23814356156076194,0.25
0.5,0.377745,0.23862020050446234,0.25
0.5,0.38023999999999997,0.23908663228629293,0.25
0.5,0.382735,0.23954289331834927,0.25
0.5,0.38522999999999996,0.23998901915462573,0.25
0.5,0.387725,0.24042504449806884,0.25
0.5,0.39021999999999996,0.24085100320744338,0.25
0.5,0.392715,0.2412669283040162,0.25
0.5,0.39520999999999995,0.24167285197805866,0.25
0.5,0.397705,0.2420688055951707,0.25
0.5,0.4002,0.24245481970242896,0.25
0.5,0.40269499999999997,0.24283092403436113,0.25
0.5,0.40519,0.24319714751874827,0.25
0.5,0.40768499999999996,0.2435535182822585,0.25
0.5,0.41018,0.2439000636559125,0.25
0.5,0.41267499999999996,0.24423681018038412,0.25
0.5,0.41517,0.24456378361113745,0.25
0.5,0.41766499999999995,0.24488100892340242,0.25
0.5,0.42016,0.2451885103169905,0.25
0.5,0.42265499999999995,0.24548631122095238,0.25
0.5,0.42515,0.24577443429807977,0.25
0.5,0.427645,0.24605290144925193,0.25
0.5,0.43013999999999997,0.24632173381762953,0.25
0.5,0.432635,0.24658095179269687,0.25
0.5,0.43512999999999996,0.24683057501415379,0.25
0.5,0.437625,0.24707062237565877,0.25
0.5,0.44011999999999996,0.2473011120284251,0.25
0.5,0.442615,0.24752206138467053,0.25
0.5,0.44510999999999995,0.2477334871209218,0.25
0.5,0.447605,0.24793540518117635,0.25
0.5,0.45009999999999994,0.24812783077992032,0.25
0.5,0.45259499999999997,0.24831077840500596,0.25
0.5,0.45509,0.24848426182038807,0.25
0.5,0.45758499999999996,0.2486482940687209,0.25
